level_0,level_1,level_2,incorr4_data
9,0,8,4.6262062603962133e-07
9,0,9,3.716439151403518e-07
9,0,10,1.0359318748421243e-07
9,0,11,-1.6700834315658053e-07
9,0,12,-4.984065600782678e-07
9,0,13,-1.1820701905590228e-06
9,0,14,-2.3065775510903823e-06
9,0,15,-3.427208554195553e-06
9,0,16,-3.7187991082908445e-06
9,0,17,-2.5726984332787565e-06
9,0,18,-6.036556304846215e-08
9,0,19,3.084090395104555e-06
9,0,20,5.926470564281128e-06
9,0,21,7.728043534931442e-06
9,0,22,8.088935403547217e-06
9,0,23,6.933209182164953e-06
9,0,24,4.5876565083419e-06
9,1,0,-1.6118778388854536e-05
9,1,1,-1.8698012269258678e-05
9,1,2,-1.6688750723395504e-05
9,1,3,-1.0768576772927517e-05
9,1,4,-4.119915381580261e-06
9,1,5,-2.8418212846740055e-07
9,1,6,-3.812560009887404e-07
9,1,7,-2.265938962523381e-06
9,1,8,-2.4761328318790763e-06
9,1,9,5.039294667370816e-07
9,1,10,4.83356350668428e-06
9,1,11,6.955253878872898e-06
9,1,12,5.032160772722746e-06
9,1,13,6.06324747363055e-07
9,1,14,-2.97444953387947e-06
9,1,15,-3.9609844542581125e-06
9,1,16,-3.799115495207577e-06
9,1,17,-5.417105502377904e-06
9,1,18,-9.71250425130135e-06
9,1,19,-1.4166945977295872e-05
9,1,20,-1.501365645343298e-05
9,1,21,-1.1225463989756462e-05
9,1,22,-5.9515416956037895e-06
9,1,23,-3.903726668757969e-06
9,1,24,-6.669601233875023e-06
10,0,0,-3.470576900201132e-06
10,0,1,-3.0849609634460646e-06
10,0,2,-2.7894594001759307e-06
10,0,3,-2.6090887720304725e-06
10,0,4,-2.3133132689520826e-06
10,0,5,-1.6648080666311352e-06
10,0,6,-6.401593604899706e-07
10,0,7,4.3621817635266643e-07
10,0,8,1.1776434978805908e-06
10,0,9,1.413482571623261e-06
10,0,10,1.3613754365949488e-06
10,0,11,1.3492162198468197e-06
10,0,12,1.557952987719092e-06
10,0,13,1.8299452039917212e-06
10,0,14,1.8912475124909168e-06
10,0,15,1.5511916221064195e-06
10,0,16,8.994900006084608e-07
10,0,17,1.3907307655115187e-07
10,0,18,-4.857668572720323e-07
10,0,19,-8.402678884221576e-07
