level_0,level_1,level_2,correct_data
3,2,1,5.183787366087173e-06
3,2,2,6.132614453669479e-06
3,2,3,7.082259358899806e-06
3,2,4,7.865364867817458e-06
3,2,5,8.33962052332603e-06
3,2,6,8.588825713304066e-06
3,2,7,8.604236919356313e-06
3,2,8,8.303312766694466e-06
3,2,9,7.281015240816625e-06
3,2,10,5.309458799265641e-06
3,2,11,2.464109857439303e-06
3,2,12,-5.883473110220459e-07
3,2,13,-3.2011019834015807e-06
3,2,14,-4.9622166273374714e-06
3,2,15,-6.0240458867137625e-06
3,2,16,-6.428817964960901e-06
3,2,17,-5.956370021148509e-06
3,2,18,-3.956396962914011e-06
3,2,19,-3.0322847120996375e-07
3,2,20,4.313178643012286e-06
3,2,21,8.287932847260426e-06
3,2,22,1.0339066802221412e-05
3,2,23,1.0120580705748209e-05
3,2,24,8.688735526771998e-06
4,0,0,5.366691846509528e-07
4,0,1,1.7506156188411168e-06
4,0,2,5.266050071694702e-06
4,0,3,8.580916019663824e-06
4,0,4,8.822084186741472e-06
4,0,5,5.481548659927004e-06
4,0,6,1.1175571838157854e-06
4,0,7,-6.489970115882596e-07
4,0,8,1.7126731364082264e-06
4,0,9,6.435987693700755e-06
4,0,10,1.0088756394265313e-05
4,0,11,1.0660406564657113e-05
4,0,12,8.984630537455982e-06
4,0,13,7.582217335063476e-06
4,0,14,8.058666691825413e-06
4,0,15,9.825240123042687e-06
4,0,16,1.0907698905349877e-05
4,0,17,1.0115172486372997e-05
4,0,18,8.047149578346304e-06
4,0,19,6.42545720008883e-06
4,0,20,6.315084559415794e-06
4,0,21,7.342512363083843e-06
4,0,22,8.176126842916037e-06
4,0,23,7.905448846507054e-06
4,0,24,6.6222289283346955e-06
4,1,0,-1.1634086868628289e-05
4,1,1,-6.155696701948667e-06
4,1,2,2.2043901809563324e-06
4,1,3,8.468199065412565e-06
4,1,4,9.173599528640127e-06
4,1,5,5.1131352700154885e-06
4,1,6,2.197739864648401e-07
4,1,7,-1.8555098271469183e-06
4,1,8,-8.059532894592289e-07
4,1,9,9.799663676456191e-07
4,1,10,1.3467663139321475e-06
4,1,11,1.0379598434209891e-06
4,1,12,2.659609384477371e-06
4,1,13,7.614344326387632e-06
4,1,14,1.3596970732371815e-05
4,1,15,1.615505340367635e-05
4,1,16,1.2391866951500874e-05
4,1,17,4.074731684122892e-06
4,1,18,-3.7681974042590312e-06
4,1,19,-6.72752804368776e-06
4,1,20,-4.680191047264315e-06
4,1,21,-1.0472901678065699e-06
4,1,22,5.240437154370121e-07
4,1,23,-4.520484320949994e-07
4,1,24,-1.8680215640467075e-06
4,2,0,2.5715184548350933e-06
4,2,1,4.685381351705734e-06
4,2,2,8.022040248245599e-06
4,2,3,9.136981088613807e-06
4,2,4,6.76461651058296e-06
4,2,5,2.929821537693165e-06
4,2,6,1.2669879840890015e-06
4,2,7,3.574764613012069e-06
4,2,8,8.33631796611574e-06
4,2,9,1.2005888308253335e-05
4,2,10,1.2378636349978092e-05
4,2,11,1.0274847744170168e-05
4,2,12,8.684316837647061e-06
4,2,13,9.72659050545231e-06
4,2,14,1.3007204882442276e-05
4,2,15,1.6079364525871192e-05
4,2,16,1.7012557035499167e-05
4,2,17,1.5820126517789457e-05
4,2,18,1.4267099535347511e-05
4,2,19,1.3826044074927179e-05
4,2,20,1.4657479405421454e-05
4,2,21,1.5614886302350254e-05
4,2,22,1.5730921820918792e-05
4,2,23,1.4735650840001563e-05
