level_0,level_1,level_2,correct_data
4,1,2,5.083603249013099e-06
4,1,3,8.706072678833418e-06
4,1,4,8.44378822725323e-06
4,1,5,5.673162825541202e-06
4,1,6,3.063519443633324e-06
4,1,7,2.242369225076779e-06
4,1,8,2.5191266479608843e-06
4,1,9,2.350581633901974e-06
4,1,10,1.456943322291917e-06
4,1,11,1.7562099208350836e-06
4,1,12,5.325274912365151e-06
4,1,13,1.1895346865361135e-05
4,1,14,1.792790889679132e-05
4,1,15,1.9203778642472302e-05
4,1,16,1.4201573715289287e-05
4,1,17,5.842013429824462e-06
4,1,18,-8.892077081043489e-07
4,1,19,-2.648884258996367e-06
4,1,20,-3.215027438886872e-07
4,1,21,2.519066803208616e-06
4,1,22,2.8940529295288456e-06
4,1,23,1.076977985253695e-06
4,1,24,-4.974849236084927e-07
5,0,0,-4.066122407147621e-06
5,0,1,-4.812245314354937e-06
5,0,2,-4.248240720338049e-06
5,0,3,-3.0114592385323226e-06
5,0,4,-2.0607187559679147e-06
5,0,5,-1.7734175608490413e-06
5,0,6,-1.7371756516348664e-06
5,0,7,-1.290780456791387e-06
5,0,8,-3.517156126349696e-07
5,0,9,5.006837074717639e-07
5,0,10,6.316644524751521e-07
5,0,11,1.0889753119424961e-07
5,0,12,-3.7690290917014606e-07
5,0,13,-2.0140633141622064e-07
5,0,14,4.632915602911169e-07
5,0,15,8.363024914633386e-07
5,0,16,2.523724598494212e-07
5,0,17,-1.1409781279269604e-06
5,0,18,-2.611957682160495e-06
5,0,19,-3.5329966139075765e-06
5,0,20,-3.981457907895861e-06
5,0,21,-4.47235913568432e-06
5,0,22,-5.360548391606447e-06
5,0,23,-6.309217227108287e-06
5,0,24,-6.618235882736531e-06
5,1,0,-9.026882023951141e-06
5,1,1,-1.272482205284494e-05
5,1,2,-2.0836135391963796e-05
5,1,3,-2.71136905614464e-05
5,1,4,-2.6457911402291224e-05
5,1,5,-1.9264404832600125e-05
5,1,6,-1.118888993307225e-05
5,1,7,-8.313571139487565e-06
5,1,8,-1.1982411703065582e-05
5,1,9,-1.761199990919977e-05
5,1,10,-1.8606942016827937e-05
5,1,11,-1.182851719367902e-05
5,1,12,-2.110020463597334e-07
5,1,13,9.592584098904713e-06
5,1,14,1.222040609738463e-05
5,1,15,7.3881311628130235e-06
5,1,16,-4.978561338765528e-07
5,1,17,-5.972638698818365e-06
5,1,18,-6.487067827296521e-06
5,1,19,-3.639472251624386e-06
5,1,20,-1.3670984320911342e-06
5,1,21,-2.6572072270352533e-06
5,1,22,-7.574111190564723e-06
5,1,23,-1.3670925021855903e-05
5,1,24,-1.820568022438407e-05
6,0,0,-3.4479985119942346e-06
6,0,1,-2.0442607214983283e-06
6,0,2,-8.420031133895271e-07
6,0,3,-3.429763006527752e-07
6,0,4,-4.6324435751539153e-07
6,0,5,-6.989978478053495e-07
6,0,6,-5.245040561871741e-07
6,0,7,8.493489771496874e-08
6,0,8,6.54294318082937e-07
6,0,9,5.534340371627542e-07
6,0,10,-3.48177018808685e-07
6,0,11,-1.5312220285409615e-06
6,0,12,-2.127033653641155e-06
6,0,13,-1.6998026947927128e-06
6,0,14,-5.89515056761788e-07
6,0,15,2.619709714891836e-07
6,0,16,1.5944028983746618e-07
6,0,17,-8.39204143403113e-07
6,0,18,-1.9386338242498606e-06
6,0,19,-2.3710723679393132e-06
6,0,20,-1.9501745845915683e-06
6,0,21,-1.2162117126776251e-06
6,0,22,-7.921729893305038e-07
6,0,23,-9.075636761458764e-07
6,0,24,-1.1772099417497951e-06
6,1,0,-3.599180908139696e-06
6,1,1,-5.922844226952182e-06
6,1,2,-6.251588731562177e-06
6,1,3,-3.5580935748801533e-06
6,1,4,1.5777012102708397e-06
6,1,5,6.5845474708851035e-06
6,1,6,8.710380773400972e-06
6,1,7,7.407814811239983e-06
